mode,scenario,min,mean,max,std,n
RUDP,A,4567.531,5679.945,6540.612,511.136,20
RUDP,B,100.0,622.243,1512.384,465.517,20
RUDP,C,100.0,100.0,100.0,0.0,20
TCP,A,6571.906,7668.555,8593.978,474.781,20
TCP,B,100.0,515.404,1080.729,412.351,20
TCP,C,100.0,100.0,100.0,0.0,20
